days	index	term	rate
1	LIBOR	3M	0.0859939858082
2	LIBOR	3M	0.0868310039424
3	LIBOR	3M	0.0864288922457
4	LIBOR	3M	0.0826857987561
5	LIBOR	3M	0.0867485377108
6	LIBOR	3M	0.0825147989398
7	LIBOR	3M	0.0837802142058
8	LIBOR	3M	0.0816184887028
9	LIBOR	3M	0.0807130428186
10	LIBOR	3M	0.0821829944476
11	LIBOR	3M	0.0833995602633
12	LIBOR	3M	0.0855051781526
13	LIBOR	3M	0.0878072231458
14	LIBOR	3M	0.0848619261697
15	LIBOR	3M	0.0877679189815
16	LIBOR	3M	0.0850541298608
17	LIBOR	3M	0.0871655503636
18	LIBOR	3M	0.0860798066548
19	LIBOR	3M	0.0876808830462
20	LIBOR	3M	0.086038840675
21	LIBOR	3M	0.0865393044071
22	LIBOR	3M	0.084303073859
23	LIBOR	3M	0.0821806971385
24	LIBOR	3M	0.0842384299708
25	LIBOR	3M	0.0893375466393
26	LIBOR	3M	0.0897412907567
27	LIBOR	3M	0.0815441569799
28	LIBOR	3M	0.0831060109508
29	LIBOR	3M	0.0858323915711
30	LIBOR	3M	0.08326234505
31	LIBOR	3M	0.0827178264265
32	LIBOR	3M	0.0841417841499
33	LIBOR	3M	0.0809115787574
34	LIBOR	3M	0.0875044036181
35	LIBOR	3M	0.0880166636215
36	LIBOR	3M	0.0825893193474
37	LIBOR	3M	0.0854213107135
38	LIBOR	3M	0.0895598644446
39	LIBOR	3M	0.0891982204372
40	LIBOR	3M	0.0876510540583
41	LIBOR	3M	0.0827582055014
42	LIBOR	3M	0.0821605735172
43	LIBOR	3M	0.0830435485711
44	LIBOR	3M	0.0806723442501
45	LIBOR	3M	0.080555899301
46	LIBOR	3M	0.0876365987097
47	LIBOR	3M	0.0875759131065
48	LIBOR	3M	0.0827870531413
49	LIBOR	3M	0.0882595954872
50	LIBOR	3M	0.0869509604118
51	LIBOR	3M	0.0810987531407
52	LIBOR	3M	0.0849283233589
53	LIBOR	3M	0.0877019669296
54	LIBOR	3M	0.0888507809831
55	LIBOR	3M	0.0820956144243
56	LIBOR	3M	0.0818111343315
57	LIBOR	3M	0.0861620238043
58	LIBOR	3M	0.0809182898712
59	LIBOR	3M	0.0863002334678
60	LIBOR	3M	0.0843401918304
61	LIBOR	3M	0.0802390963986
62	LIBOR	3M	0.081474029542
63	LIBOR	3M	0.0880067525559
64	LIBOR	3M	0.087707457154
65	LIBOR	3M	0.0823301523283
66	LIBOR	3M	0.0896139386521
67	LIBOR	3M	0.0873906554512
68	LIBOR	3M	0.0882207911769
69	LIBOR	3M	0.0886381770277
70	LIBOR	3M	0.0848141084709
71	LIBOR	3M	0.0872764162279
72	LIBOR	3M	0.0825856946296
73	LIBOR	3M	0.0822650388148
74	LIBOR	3M	0.0831792424996
75	LIBOR	3M	0.0870937403478
76	LIBOR	3M	0.0887577837047
77	LIBOR	3M	0.0825988902434
78	LIBOR	3M	0.0810753979358
79	LIBOR	3M	0.0801459963168
80	LIBOR	3M	0.0838588982944
81	LIBOR	3M	0.0845928136612
82	LIBOR	3M	0.0805474947267
83	LIBOR	3M	0.0845824706317
84	LIBOR	3M	0.0874174381206
85	LIBOR	3M	0.0874664752477
86	LIBOR	3M	0.0887367034927
87	LIBOR	3M	0.0887087484035
88	LIBOR	3M	0.0835422878262
89	LIBOR	3M	0.0870327349062
90	LIBOR	3M	0.0834670342619
91	LIBOR	3M	0.0896999816138
92	LIBOR	3M	0.0861752653117
93	LIBOR	3M	0.0840050927684
94	LIBOR	3M	0.0844509061161
95	LIBOR	3M	0.0890826950825
96	LIBOR	3M	0.0808918881086
97	LIBOR	3M	0.0830857159571
98	LIBOR	3M	0.0819875494104
99	LIBOR	3M	0.0856648469621
100	LIBOR	3M	0.0866890281578
101	LIBOR	3M	0.086739904546
102	LIBOR	3M	0.083632326381
103	LIBOR	3M	0.0809889068618
104	LIBOR	3M	0.0877501632284
105	LIBOR	3M	0.0841564025928
106	LIBOR	3M	0.0867536051645
107	LIBOR	3M	0.0856624213664
108	LIBOR	3M	0.0840578231077
109	LIBOR	3M	0.0893296062756
110	LIBOR	3M	0.0812543674956
111	LIBOR	3M	0.0808978425358
112	LIBOR	3M	0.0848613451133
113	LIBOR	3M	0.0802104806534
114	LIBOR	3M	0.0838785889375
115	LIBOR	3M	0.0850164064108
116	LIBOR	3M	0.0853137093886
117	LIBOR	3M	0.0895074473946
118	LIBOR	3M	0.0863959651341
119	LIBOR	3M	0.0836799311201
120	LIBOR	3M	0.0851688092526
121	LIBOR	3M	0.0851002709027
122	LIBOR	3M	0.0846047547691
123	LIBOR	3M	0.084968600895
124	LIBOR	3M	0.0813275318671
125	LIBOR	3M	0.0891599591245
126	LIBOR	3M	0.0861967283382
127	LIBOR	3M	0.0864414410025
128	LIBOR	3M	0.0861096200341
129	LIBOR	3M	0.0828505969568
130	LIBOR	3M	0.081436514404
131	LIBOR	3M	0.086566597578
132	LIBOR	3M	0.0892267685256
133	LIBOR	3M	0.0838114921351
134	LIBOR	3M	0.0853652700204
135	LIBOR	3M	0.088336006523
136	LIBOR	3M	0.086004384672
137	LIBOR	3M	0.0854027864893
138	LIBOR	3M	0.0882888795525
139	LIBOR	3M	0.0886341453332
140	LIBOR	3M	0.0809391238699
141	LIBOR	3M	0.0840838992679
142	LIBOR	3M	0.0807547366881
143	LIBOR	3M	0.0821331639385
144	LIBOR	3M	0.08081223093
145	LIBOR	3M	0.0826636647946
146	LIBOR	3M	0.0820384085798
147	LIBOR	3M	0.0883784236521
148	LIBOR	3M	0.0854928723617
149	LIBOR	3M	0.0833722162681
150	LIBOR	3M	0.088576606591
151	LIBOR	3M	0.0852614209095
152	LIBOR	3M	0.0851907056088
153	LIBOR	3M	0.0823539460324
154	LIBOR	3M	0.0846342790751
155	LIBOR	3M	0.0819929911937
156	LIBOR	3M	0.0835015890505
157	LIBOR	3M	0.0852943620859
158	LIBOR	3M	0.0875033804872
159	LIBOR	3M	0.085381585454
160	LIBOR	3M	0.0823015864367
161	LIBOR	3M	0.0851661369591
162	LIBOR	3M	0.0833891208666
163	LIBOR	3M	0.0889276818682
164	LIBOR	3M	0.0896710985155
165	LIBOR	3M	0.0857716015142
166	LIBOR	3M	0.0831101048808
167	LIBOR	3M	0.0833423832874
168	LIBOR	3M	0.0828231024563
