date	base	price	rate
1/1/2016	USD	EUR	0.683091159436
1/1/2016	USD	JPY	0.921129138429
1/1/2016	USD	GBP	0.683889504117
1/1/2016	USD	AUD	0.967711440536
1/1/2016	USD	CHF	0.554752107812
1/1/2016	USD	XAG	0.873574920309
1/1/2016	USD	XAU	0.69940015089
1/1/2016	USD	NZD	0.832136098968
1/2/2016	USD	EUR	0.613878862573
1/2/2016	USD	JPY	0.737098108396
1/2/2016	USD	GBP	0.508191994604
1/2/2016	USD	AUD	0.786978567815
1/2/2016	USD	CHF	0.599574480207
1/2/2016	USD	XAG	0.93875900089
1/2/2016	USD	XAU	0.900294873708
1/2/2016	USD	NZD	0.848034735987
1/3/2016	USD	EUR	0.880157099476
1/3/2016	USD	JPY	0.584258926292
1/3/2016	USD	GBP	0.552199700969
1/3/2016	USD	AUD	0.628140324193
1/3/2016	USD	CHF	0.667179426535
1/3/2016	USD	XAG	0.745381652286
1/3/2016	USD	XAU	0.920198184185
1/3/2016	USD	NZD	0.824656732995
1/4/2016	USD	EUR	0.790161393003
1/4/2016	USD	JPY	0.551985255202
1/4/2016	USD	GBP	0.877287916339
1/4/2016	USD	AUD	0.960077305579
1/4/2016	USD	CHF	0.569248635681
1/4/2016	USD	XAG	0.56930635197
1/4/2016	USD	XAU	0.883326983955
1/4/2016	USD	NZD	0.522882068343
1/5/2016	USD	EUR	0.691484260802
1/5/2016	USD	JPY	0.972038177963
1/5/2016	USD	GBP	0.658811639496
1/5/2016	USD	AUD	0.540947073144
1/5/2016	USD	CHF	0.625676371888
1/5/2016	USD	XAG	0.634186011589
1/5/2016	USD	XAU	0.609965575914
1/5/2016	USD	NZD	0.885855689125
1/6/2016	USD	EUR	0.923459440429
1/6/2016	USD	JPY	0.562924806322
1/6/2016	USD	GBP	0.840881636923
1/6/2016	USD	AUD	0.923234602692
1/6/2016	USD	CHF	0.507540733189
1/6/2016	USD	XAG	0.609799659583
1/6/2016	USD	XAU	0.503259825927
1/6/2016	USD	NZD	0.856287285999
1/7/2016	USD	EUR	0.817455194134
1/7/2016	USD	JPY	0.757537176257
1/7/2016	USD	GBP	0.774138297082
1/7/2016	USD	AUD	0.867611055383
1/7/2016	USD	CHF	0.72135331958
1/7/2016	USD	XAG	0.819672672285
1/7/2016	USD	XAU	0.89607769899
1/7/2016	USD	NZD	0.583607651932
1/8/2016	USD	EUR	0.705811570084
1/8/2016	USD	JPY	0.985835046624
